,TIMESTAMP,AUTOSOLDERING.MAIN_Z-LEFT,AUTOSOLDERING.MAIN_Z-MIDDLE,AUTOSOLDERING.MAIN_Z-RIGHT,AUTOSOLDERING.PLC_COUNTER1,AUTOSOLDERING.PLC_COUNTER2,AUTOSOLDERING.PLC_COUNTER3,AUTOSOLDERING.PLC_COUNTER4,AUTOSOLDERING.PLC_COUNTER5,AUTOSOLDERING.PLC_COUNTER6,AUTOSOLDERING.SUB1_ALARM,AUTOSOLDERING.SUB1_CYCLE_TIME,AUTOSOLDERING.SUB1_HEATING_STATUS,AUTOSOLDERING.SUB1_MAX_TEMP,AUTOSOLDERING.SUB1_PV_TEMP,AUTOSOLDERING.SUB2_ALARM,AUTOSOLDERING.SUB2_CYCLE_TIME,AUTOSOLDERING.SUB2_HEATING_STATUS,AUTOSOLDERING.SUB2_MAX_TEMP,AUTOSOLDERING.SUB2_PV_TEMP,AUTOSOLDERING.SUB3_ALARM,AUTOSOLDERING.SUB3_CYCLE_TIME,AUTOSOLDERING.SUB3_HEATING_STATUS,AUTOSOLDERING.SUB3_MAX_TEMP,AUTOSOLDERING.SUB3_PV_TEMP,AUTOSOLDERING.SUB4_ALARM,AUTOSOLDERING.SUB4_CYCLE_TIME,AUTOSOLDERING.SUB4_HEATING_STATUS,AUTOSOLDERING.SUB4_MAX_TEMP,AUTOSOLDERING.SUB4_PV_TEMP,AUTOSOLDERING.SUB5_ALARM,AUTOSOLDERING.SUB5_CYCLE_TIME,AUTOSOLDERING.SUB5_HEATING_STATUS,AUTOSOLDERING.SUB5_MAX_TEMP,AUTOSOLDERING.SUB5_PV_TEMP,AUTOSOLDERING.SUB6_ALARM,AUTOSOLDERING.SUB6_CYCLE_TIME,AUTOSOLDERING.SUB6_HEATING_STATUS,AUTOSOLDERING.SUB6_MAX_TEMP,AUTOSOLDERING.SUB6_PV_TEMP
0,2023-10-23 15:00:00.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,,,,,,
1,2023-10-23 15:00:00.080,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-10-23 15:00:00.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
3,2023-10-23 15:00:00.105,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
4,2023-10-23 15:00:00.146,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
5,2023-10-23 15:00:00.149,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-10-23 15:00:00.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,
7,2023-10-23 15:00:00.242,,,,,,,,,,,,,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,
8,2023-10-23 15:00:00.255,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9,2023-10-23 15:00:00.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,
10,2023-10-23 15:00:00.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
11,2023-10-23 15:00:00.426,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2023-10-23 15:00:00.459,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,
13,2023-10-23 15:00:00.470,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
14,2023-10-23 15:00:00.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,
15,2023-10-23 15:00:00.513,,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,,,28.0,,,,,,
